Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
4/29/2021,HAMR CN Equity,HAMR CN,HAMR CN,Silver Hammer Mining Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering",0.1,-30,4/28/2021,,1.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/29/2021,#NAME?,7/29/2021,#NAME?,10/29/2021,#NAME?,4/29/2022,#NAME?,4/29/2024,#NAME?,4/29/2026,#NAME?,#NAME?
N.A.,2072482D CN Equity,2072482D CN,2072482D CN,Birdrock Capital I Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,6/2/2022,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
11/29/2019,MNG CN Equity,MNG CN,MNG CN,Mongoose Mining Ltd,CAD,CA,0.1,3.18E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-92.98245614,3/13/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/29/2019,#NAME?,2/29/2020,#NAME?,5/29/2020,#NAME?,11/29/2020,#NAME?,11/29/2022,#NAME?,11/29/2024,#NAME?,#NAME?
N.A.,FCO/H CN Equity,FCO/H CN,FCO/H CN,Fabled Silver Gold Corp,CAD,CA,,,"IPO,Primary Share Offering,Best Efforts",0,, ,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
6/16/2015,TAAL CN Equity,TAAL CN,TAAL CN,Taal Distributed Information Technologies Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts",0.1,,6/16/2015,2.3,22.9,27.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2015,#NAME?,9/16/2015,#NAME?,12/16/2015,#NAME?,6/16/2016,#NAME?,6/16/2018,#NAME?,6/16/2020,#NAME?,#NAME?
6/30/2010,CSN/H CN Equity,CSN/H CN,CSN/H CN,Crimson Bioenergy Ltd,CAD,CA,0.1,2.50E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,11/25/2009,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/30/2010,#NAME?,9/30/2010,#NAME?,12/30/2010,#NAME?,6/30/2011,#NAME?,6/30/2013,#NAME?,6/30/2015,#NAME?,#NAME?
11/9/2017,9991015D CN Equity,9991015D CN,9991015D CN,KetamineOne Capital Ltd,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,7/19/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/9/2017,#NAME?,2/9/2018,#NAME?,5/9/2018,#NAME?,11/9/2018,#NAME?,11/9/2020,#NAME?,11/9/2022,#NAME?,#NAME?
2/14/2022,IKC/P CN Equity,IKC/P CN,IKC/P CN,Ikigai Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC",0.1,,2/10/2022,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/14/2022,#NAME?,5/14/2022,#NAME?,8/14/2022,#NAME?,2/14/2023,#NAME?,2/14/2025,#NAME?,2/14/2027,#NAME?,#NAME?
4/6/2022,OCAP/P CN Equity,OCAP/P CN,OCAP/P CN,Ocean Shore Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,2/11/2022,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/6/2022,#NAME?,7/6/2022,#NAME?,10/6/2022,#NAME?,4/6/2023,#NAME?,4/6/2025,#NAME?,4/6/2027,#NAME?,#NAME?
4/8/2022,MEGO/P CN Equity,MEGO/P CN,MEGO/P CN,Amego Capital Corp,CAD,CA,0.2,1.50E+06,"IPO,Primary Share Offering,SPAC",0.2,2.5,2/28/2022,,0.8,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/8/2022,#NAME?,7/8/2022,#NAME?,10/8/2022,#NAME?,4/8/2023,#NAME?,4/8/2025,#NAME?,4/8/2027,#NAME?,#NAME?
6/16/2022,RAC/P CN Equity,RAC/P CN,RAC/P CN,Riverwalk Acquisition Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-70,1/6/2022,,0.0242875,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/16/2022,#NAME?,9/16/2022,#NAME?,12/16/2022,#NAME?,6/16/2023,#NAME?,6/16/2025,#NAME?,6/16/2027,#NAME?,#NAME?
12/20/2021,WITT/P CN Equity,WITT/P CN,WITT/P CN,Wittering Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-45,12/16/2021,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/20/2022,#NAME?,3/20/2022,#NAME?,6/20/2022,#NAME?,12/20/2022,#NAME?,12/20/2024,#NAME?,12/20/2026,#NAME?,#NAME?
N.A.,GODB/P CN Equity,GODB/P CN,GODB/P CN,Goodbridge Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,5/26/2022,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
N.A.,GOWC/P CN Equity,GOWC/P CN,GOWC/P CN,Can-Gow Capital Inc,CAD,CA,,,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,2/24/2020,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
7/26/2018,BTCW CN Equity,BTCW CN,BTCW CN,Bitcoin Well Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,20,3/1/2018,61.9,26.6,66,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/26/2018,#NAME?,10/26/2018,#NAME?,1/26/2019,#NAME?,7/26/2019,#NAME?,7/26/2021,#NAME?,7/26/2023,#NAME?,#NAME?
9/12/2016,ANTL CN Equity,ANTL CN,ANTL CN,Antler Gold Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-25,8/19/2016,,3.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/12/2016,#NAME?,12/12/2016,#NAME?,3/12/2017,#NAME?,9/12/2017,#NAME?,9/12/2019,#NAME?,9/12/2021,#NAME?,#NAME?
8/8/2022,SLX/P CN Equity,SLX/P CN,SLX/P CN,Searchlight Innovations Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,40,5/13/2022,,0.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/8/2022,#NAME?,11/8/2022,#NAME?,2/8/2023,#NAME?,8/8/2023,#NAME?,8/8/2025,#NAME?,8/8/2027,#NAME?,#NAME?
8/8/2022,TLX/P CN Equity,TLX/P CN,TLX/P CN,Torchlight Innovations Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-60,5/13/2022,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/8/2022,#NAME?,11/8/2022,#NAME?,2/8/2023,#NAME?,8/8/2023,#NAME?,8/8/2025,#NAME?,8/8/2027,#NAME?,#NAME?
12/12/2018,ADY CN Equity,ADY CN,ADY CN,Adyton Resources Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-42.7480916,9/19/2018,,23.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/12/2019,#NAME?,3/12/2019,#NAME?,6/12/2019,#NAME?,12/12/2019,#NAME?,12/12/2021,#NAME?,12/12/2023,#NAME?,#NAME?
2/12/2019,NURS CN Equity,NURS CN,NURS CN,Hydreight Technologies Inc,CAD,CA,0.1,3.01E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-12.6475522,8/2/2018,,8,8.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/12/2019,#NAME?,5/12/2019,#NAME?,8/12/2019,#NAME?,2/12/2020,#NAME?,2/12/2022,#NAME?,2/12/2024,#NAME?,#NAME?
8/30/2018,OTC CN Equity,OTC CN,OTC CN,Ocumetics Technology Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,210,3/21/2018,,29.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/30/2018,#NAME?,11/30/2018,#NAME?,2/28/2019,#NAME?,8/30/2019,#NAME?,8/30/2021,#NAME?,8/30/2023,#NAME?,#NAME?
N.A.,HPM CN Equity,HPM CN,HPM CN,Halcones Precious Metals Corp,CAD,CA,,,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,10/9/2018,,5.1,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
4/16/2019,SBMI CN Equity,SBMI CN,SBMI CN,Silver Bullet Mines Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-13.66666091,10/9/2018,45,6.6,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/16/2019,#NAME?,7/16/2019,#NAME?,10/16/2019,#NAME?,4/16/2020,#NAME?,4/16/2022,#NAME?,4/16/2024,#NAME?,#NAME?
4/14/2020,METL CN Equity,METL CN,METL CN,Metalite Resources Inc,CAD,CA,0.1,3.03E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-96.25,10/15/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/14/2020,#NAME?,7/14/2020,#NAME?,10/14/2020,#NAME?,4/14/2021,#NAME?,4/14/2023,#NAME?,4/14/2025,#NAME?,#NAME?
1/29/2019,SBBC CN Equity,SBBC CN,SBBC CN,Simply Better Brands Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-24.25,8/31/2018,10.1,40.2,79.8,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/28/2019,#NAME?,4/29/2019,#NAME?,7/29/2019,#NAME?,1/29/2020,#NAME?,1/29/2022,#NAME?,1/29/2024,#NAME?,#NAME?
12/9/2019,TMET CN Equity,TMET CN,TMET CN,Torr Metals Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,3.177878663,7/19/2019,,2.1,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/9/2020,#NAME?,3/9/2020,#NAME?,6/9/2020,#NAME?,12/9/2020,#NAME?,12/9/2022,#NAME?,12/9/2024,#NAME?,#NAME?
1/18/2019,DCMC CN Equity,DCMC CN,DCMC CN,Dore Copper Mining Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-84.99585808,8/17/2018,,14.4,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/18/2019,#NAME?,4/18/2019,#NAME?,7/18/2019,#NAME?,1/18/2020,#NAME?,1/18/2022,#NAME?,1/18/2024,#NAME?,#NAME?
6/17/2020,GMTN CN Equity,GMTN CN,GMTN CN,Gold Mountain Mining Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-80,7/22/2019,20.9,11.3,1.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/17/2020,#NAME?,9/17/2020,#NAME?,12/17/2020,#NAME?,6/17/2021,#NAME?,6/17/2023,#NAME?,6/17/2025,#NAME?,#NAME?
12/19/2019,LOG/P CN Equity,LOG/P CN,LOG/P CN,Logica Ventures Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-85,7/22/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/19/2020,#NAME?,3/19/2020,#NAME?,6/19/2020,#NAME?,12/19/2020,#NAME?,12/19/2022,#NAME?,12/19/2024,#NAME?,#NAME?
3/28/2019,ASTN/P CN Equity,ASTN/P CN,ASTN/P CN,Auston Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,7/10/2018,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/28/2019,#NAME?,6/28/2019,#NAME?,9/28/2019,#NAME?,3/28/2020,#NAME?,3/28/2022,#NAME?,3/28/2024,#NAME?,#NAME?
8/22/2018,BIG CN Equity,BIG CN,BIG CN,Hercules Metals Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,734,7/10/2018,,114.3,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,9/22/2018,#NAME?,11/22/2018,#NAME?,2/22/2019,#NAME?,8/22/2019,#NAME?,8/22/2021,#NAME?,8/22/2023,#NAME?,#NAME?
4/25/2019,RUA CN Equity,RUA CN,RUA CN,Rua Gold Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts,REG S",0.1,1.666666667,11/6/2018,0.2,28.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/25/2019,#NAME?,7/25/2019,#NAME?,10/25/2019,#NAME?,4/25/2020,#NAME?,4/25/2022,#NAME?,4/25/2024,#NAME?,#NAME?
N.A.,CNJ/P CN Equity,CNJ/P CN,CNJ/P CN,CNJ Capital Investments Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts",0.1,,6/21/2023,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
10/29/2018,TLC/P CN Equity,TLC/P CN,TLC/P CN,Timeless Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-95,9/7/2018,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/29/2018,#NAME?,1/29/2019,#NAME?,4/29/2019,#NAME?,10/29/2019,#NAME?,10/29/2021,#NAME?,10/29/2023,#NAME?,#NAME?
N.A.,2293177D CN Equity,2293177D CN,2293177D CN,Seafire Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,7/12/2023,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
12/22/2020,SPZ CN Equity,SPZ CN,SPZ CN,SuperBuzz Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-56.25,8/24/2020,,2.8,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/22/2021,#NAME?,3/22/2021,#NAME?,6/22/2021,#NAME?,12/22/2021,#NAME?,12/22/2023,#NAME?,12/22/2025,#NAME?,#NAME?
N.A.,1697502D CN Equity,1697502D CN,1697502D CN,Leaside Capital Corp,CAD,CA,,,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,2/13/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
4/29/2019,HANS CN Equity,HANS CN,HANS CN,Hanstone Gold Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-70,1/28/2019,,0.9,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/29/2019,#NAME?,7/29/2019,#NAME?,10/29/2019,#NAME?,4/29/2020,#NAME?,4/29/2022,#NAME?,4/29/2024,#NAME?,#NAME?
3/15/2021,AF/P CN Equity,AF/P CN,AF/P CN,AF2 Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,10/5/2020,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/15/2021,#NAME?,6/15/2021,#NAME?,9/15/2021,#NAME?,3/15/2022,#NAME?,3/15/2024,#NAME?,3/15/2026,#NAME?,#NAME?
9/27/2017,TCG/P CN Equity,TCG/P CN,TCG/P CN,Transcontinental Gold Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC",0.1,-65,2/28/2017,8060.1,0.5,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/27/2017,#NAME?,12/27/2017,#NAME?,3/27/2018,#NAME?,9/27/2018,#NAME?,9/27/2020,#NAME?,9/27/2022,#NAME?,#NAME?
10/30/2017,XPLR CN Equity,XPLR CN,XPLR CN,Xplore Resources Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-92,6/15/2017,,1.8,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/30/2017,#NAME?,1/30/2018,#NAME?,4/30/2018,#NAME?,10/30/2018,#NAME?,10/30/2020,#NAME?,10/30/2022,#NAME?,#NAME?
3/12/2020,HCO/P CN Equity,HCO/P CN,HCO/P CN,Hansco Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-15,11/22/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/12/2020,#NAME?,6/12/2020,#NAME?,9/12/2020,#NAME?,3/12/2021,#NAME?,3/12/2023,#NAME?,3/12/2025,#NAME?,#NAME?
12/16/2019,PTFY CN Equity,PTFY CN,PTFY CN,Plantify Foods Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-98,1/21/2019,23.1,2.7,0.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/16/2020,#NAME?,3/16/2020,#NAME?,6/16/2020,#NAME?,12/16/2020,#NAME?,12/16/2022,#NAME?,12/16/2024,#NAME?,#NAME?
11/29/2019,RENT/P CN Equity,RENT/P CN,RENT/P CN,Shine Box Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-55,1/21/2019,,0.1,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/29/2019,#NAME?,2/29/2020,#NAME?,5/29/2020,#NAME?,11/29/2020,#NAME?,11/29/2022,#NAME?,11/29/2024,#NAME?,#NAME?
12/14/2022,CCIC/P CN Equity,CCIC/P CN,CCIC/P CN,Chicane Capital I Corp,CAD,CA,0.1,3.09E+06,"IPO,Primary Share Offering,SPAC,Best Efforts,Private Placement,QIP",0.1,-50,10/20/2022,,0.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,1/14/2023,#NAME?,3/14/2023,#NAME?,6/14/2023,#NAME?,12/14/2023,#NAME?,12/14/2025,#NAME?,12/14/2027,#NAME?,#NAME?
6/19/2017,IBO CN Equity,IBO CN,IBO CN,Universal Ibogaine Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-75,4/10/2017,,1.1,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/19/2017,#NAME?,9/19/2017,#NAME?,12/19/2017,#NAME?,6/19/2018,#NAME?,6/19/2020,#NAME?,6/19/2022,#NAME?,#NAME?
6/7/2019,XCAP/P CN Equity,XCAP/P CN,XCAP/P CN,Exelerate Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-70,4/2/2019,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/7/2019,#NAME?,9/7/2019,#NAME?,12/7/2019,#NAME?,6/7/2020,#NAME?,6/7/2022,#NAME?,6/7/2024,#NAME?,#NAME?
5/30/2019,WG CN Equity,WG CN,WG CN,Westward Gold Inc,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,Best Efforts,REG S",0.1,0,12/5/2018,,6.8,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,6/30/2019,#NAME?,8/30/2019,#NAME?,11/30/2019,#NAME?,5/30/2020,#NAME?,5/30/2022,#NAME?,5/30/2024,#NAME?,#NAME?
4/6/2021,LTH CN Equity,LTH CN,LTH CN,Lithium Ionic Corp,CAD,CA,0.1,2.80E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,569.80936,3/17/2021,3.7,183.1,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,5/6/2021,#NAME?,7/6/2021,#NAME?,10/6/2021,#NAME?,4/6/2022,#NAME?,4/6/2024,#NAME?,4/6/2026,#NAME?,#NAME?
1/13/2023,GDN CN Equity,GDN CN,GDN CN,Golden Age Exploration Ltd,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering",0.1,-60,1/13/2023,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/13/2023,#NAME?,4/13/2023,#NAME?,7/13/2023,#NAME?,1/13/2024,#NAME?,1/13/2026,#NAME?,1/13/2028,#NAME?,#NAME?
6/28/2023,MDK/P CN Equity,MDK/P CN,MDK/P CN,MDK Acquisition Inc,CAD,CA,0.1,2.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-50,4/14/2023,,0.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,7/28/2023,#NAME?,9/28/2023,#NAME?,12/28/2023,#NAME?,6/28/2024,#NAME?,6/28/2026,#NAME?,6/28/2028,#NAME?,#NAME?
7/12/2005,EBC/H CN Equity,EBC/H CN,EBC/H CN,Everbright Capital Corp,CAD,CA,0.1,2.74E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,7/12/2005,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/12/2005,#NAME?,10/12/2005,#NAME?,1/12/2006,#NAME?,7/12/2006,#NAME?,7/12/2008,#NAME?,7/12/2010,#NAME?,#NAME?
11/28/2017,GLIN/P CN Equity,GLIN/P CN,GLIN/P CN,Global Investments Capital Corp,CAD,CA,0.1,3.00E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,6/6/2017,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/28/2017,#NAME?,2/28/2018,#NAME?,5/28/2018,#NAME?,11/28/2018,#NAME?,11/28/2020,#NAME?,11/28/2022,#NAME?,#NAME?
9/20/2018,SHRP CN Equity,SHRP CN,SHRP CN,Sherpa II Holdings Corp,CAD,CA,0.1,2.88E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,-70,6/6/2018,,0.7,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/20/2018,#NAME?,12/20/2018,#NAME?,3/20/2019,#NAME?,9/20/2019,#NAME?,9/20/2021,#NAME?,9/20/2023,#NAME?,#NAME?
2/17/2022,CMT CN Equity,CMT CN,CMT CN,Cullinan Metals Corp,CAD,CA,0.1,2.79E+06,"IPO,Primary Share Offering,Best Efforts",0.1,-60,1/21/2022,,0.2,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,3/17/2022,#NAME?,5/17/2022,#NAME?,8/17/2022,#NAME?,2/17/2023,#NAME?,2/17/2025,#NAME?,2/17/2027,#NAME?,#NAME?
9/21/2018,NIS/P CN Equity,NIS/P CN,NIS/P CN,Cann-Is Capital Corp,CAD,CA,0.1,2.95E+06,"IPO,Primary Share Offering,SPAC,Best Efforts",0.1,,6/22/2018,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/21/2018,#NAME?,12/21/2018,#NAME?,3/21/2019,#NAME?,9/21/2019,#NAME?,9/21/2021,#NAME?,9/21/2023,#NAME?,#NAME?
