Initial Pub Offer (Date),IssuerTicker2,IssuerTickerOG,Ticker,Issuer Name,Currency,Country/Region,Initial Pub Offer (Share Price),Initial Pub Offer (Shares Offered),Offer Type,Offer Price,Offer To Date,Pricing Date,Total Debt/Total Assets,Historical Market Cap,Revenues,Size of the Board,% Women on Board,Number of Women on Board,CEO or Equivalent is a Woman,CFO or Equivalent is a Woman,Listing Date,First-Day Closing Price,ID_ISIN,ID_CUSIP,CENTRAL_INDEX_KEY_NUMBER,IPO DATE PLUS 1 M,IPO PRICE AFTER 1M,IPO DATE PLUS 3M,IPO PRICE AFTER 1M,IPO DATE PLUS 6M,IPO PRICE AFTER 6M,IPO DATE PLUS 1 Y,IPO PRICE AFTER 1Y,IPO DATE PLUS 3Y,IPO PRICE AFTER 3Y,IPO DATE PLUS 5Y,IPO PRICE AFTER 5Y,BOARD_SIZE
11/23/2010,TOU CN Equity,TOU CN,TOU CN,Tourmaline Oil Corp,CAD,CA,21,1.00E+07,"IPO,Primary Share Offering,Bought Deal",21,225.1904762,11/16/2010,5.8,17274.1,4138.9,10,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/23/2010,#NAME?,2/23/2011,#NAME?,5/23/2011,#NAME?,11/23/2011,#NAME?,11/23/2013,#NAME?,11/23/2015,#NAME?,#NAME?
N.A.,UUMuN CN Equity,UUMuN CN,UUM-UN CN,Continuum Residential REIT,CAD,CA,,1.87E+07,"IPO,Primary Share Offering,REG S,Rule 144A",0,, ,42.1,,75.6,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
7/18/2005,COZu CN Equity,COZu CN,COZ-U CN,Core IncomePlus Fund,CAD,CA,10,2.75E+07,"IPO,Best Efforts",10,,6/29/2005,,,,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/18/2005,#NAME?,10/18/2005,#NAME?,1/18/2006,#NAME?,7/18/2006,#NAME?,7/18/2008,#NAME?,7/18/2010,#NAME?,#NAME?
11/21/2024,GRGD CN Equity,GRGD CN,GRGD CN,Groupe Dynamite Inc,CAD,CA,21,1.43E+07,"IPO,Secondary Share Offering",21,-36.23809433,11/20/2024,83.8,,593.5,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,12/21/2024,#NAME?,2/21/2025,#NAME?,5/21/2025,#NAME?,11/21/2025,#NAME?,11/21/2027,#NAME?,11/21/2029,#NAME?,#NAME?
1/25/2006,CHR CN Equity,CHR CN,CHR CN,Chorus Aviation Inc,CAD,CA,10,2.35E+07,"IPO,Primary Share Offering",10,-70.4,11/28/2005,32.1,411.1,1025.6,6,33.3333,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,2/25/2006,#NAME?,4/25/2006,#NAME?,7/25/2006,#NAME?,1/25/2007,#NAME?,1/25/2009,#NAME?,1/25/2011,#NAME?,#NAME?
10/25/2018,ACI CN Equity,ACI CN,ACI CN,TriSummit Utilities Inc,CAD,CA,14.5,1.65E+07,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",14.5,,10/18/2018,44,,737.7,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,11/25/2018,#NAME?,1/25/2019,#NAME?,4/25/2019,#NAME?,10/25/2019,#NAME?,10/25/2021,#NAME?,10/25/2023,#NAME?,#NAME?
N.A.,1409577D CN Equity,1409577D CN,1409577D CN,MCAP Corp,CAD,CA,,,IPO,0,, ,95.6,,595.2,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#VALUE!,#NAME?,#NAME?
3/15/2019,LSPD CN Equity,LSPD CN,LSPD CN,Lightspeed Commerce Inc,CAD,CA,16,1.50E+07,"IPO,Primary Share Offering,REG S,Rule 144A",16,-4.8125,3/7/2019,0.9,2330.1,909.2,7,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,4/15/2019,#NAME?,6/15/2019,#NAME?,9/15/2019,#NAME?,3/15/2020,#NAME?,3/15/2022,#NAME?,3/15/2024,#NAME?,#NAME?
9/8/2021,GOGRu CN Equity,GOGRu CN,GOGR-U CN,Osisko Green Acquisition Ltd,CAD,CA,10,2.50E+07,"IPO,Primary Share Offering,SPAC",10,,7/13/2021,,42.3,3.2,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,10/8/2021,#NAME?,12/8/2021,#NAME?,3/8/2022,#NAME?,9/8/2022,#NAME?,9/8/2024,#NAME?,9/8/2026,#NAME?,#NAME?
7/30/2015,TOY CN Equity,TOY CN,TOY CN,Spin Master Corp,CAD,CA,18,1.22E+07,"IPO,Primary Share Offering,REG S,Rule 144A",18,41.11111111,7/23/2015,20.2,2410.2,2263,,,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,8/30/2015,#NAME?,10/30/2015,#NAME?,1/30/2016,#NAME?,7/30/2016,#NAME?,7/30/2018,#NAME?,7/30/2020,#NAME?,#NAME?
